"Entity","Frequency"
"Europe","1"
"Georgia","1"
"Often","1"
"UV","2"
"Haisheng Rong","1"
"American Life","1"
"CompTIA","1"
"Hong Kong","1"
"US","5"
"Jill Sutherland","1"
"Envisional","3"
"Skype Out","1"
"Explorer","1"
"Sun","8"
"PC Pro Magazine","2"
"Protect Bloggers","1"
"Video","1"
"Goodman","1"
"Concern","1"
"Kevin Hogan","1"
"Piero","7"
"Francesco","1"
"Slim","1"
"Tech","1"
"Sony Walkman","1"
"PSP","2"
"Shane Williams","1"
"Ben Coppin","1"
"Mitchell Kapor","1"
"Guardian","1"
"Netherlands","1"
"Ken Kutaragi","1"
"Duncan Ingram","1"
"Andrew Pearson","1"
"Virus","1"
"Disney","4"
"Lord Currie","3"
"Polish MEPs","1"
"Gordon Freeman","1"
"Internet Service","1"
"Sophos","1"
"Cory Doctorow","1"
"Mikko Hypponen","1"
"Savvy","1"
"Level Domain Registries","1"
"Kenyan","1"
"Imagine","1"
"Freeview","1"
"Tim Ellsmore","1"
"ISPA","1"
"Virgin","5"
"Interactive Media Player","1"
"Latin American","1"
"High Speed Downlink Packet","1"
"Stuff Essentials","1"
"Jeremy Philpott","1"
"Shaun","1"
"Gizmondo","5"
"JURI","2"
"AutoLink","7"
"Department","1"
"MBlox","1"
"Steve Weinstein","1"
"Stephen Dyer","1"
"Commission","2"
"Electronic","1"
"Disasters Emergency Committee","1"
"Marine","1"
"Hopkins","1"
"House","1"
"Californian","1"
"August","2"
"Six Nations","1"
"Musical","1"
"Intellect","2"
"Richard Jones","1"
"BBC","2"
"Microsoft Word","2"
"Zar","1"
"BBC Research","1"
"Langlands","1"
"Row","1"
"Ian Pearson","1"
"Encounter","1"
"Flipstart","1"
"Blog","1"
"Carlos Saldarriaga","2"
"Toshiba","1"
"EU","3"
"Golden Joystick","1"
"William Trowbridge","1"
"Microprocessor Report","1"
"Mobile","1"
"Mozilla","1"
"Dani Hak","1"
"Skype","5"
"Email Systems","4"
"Verisign","1"
"Ministers","1"
"Gulliver","1"
"Parliament","2"
"Tetris","4"
"Hacker","1"
"Torvalds","1"
"Ayatollah Ali Khamenei","1"
"PB100","1"
"Connectotel","1"
"Jonathan Schwartz","1"
"Format","1"
"Pandas","1"
"Information Society","2"
"Eric Tveter","1"
"Las Vegas","1"
"Cinemas","1"
"Serbia","2"
"Indian","1"
"Victor Wong","1"
"Ofcom","3"
"Alerts","1"
"Swiss","3"
"Blogs","1"
"Geneva","2"
"Direct Connect","2"
"MPx","1"
"Apple","9"
"Soviet","1"
"Gadget","1"
"BBC News","1"
"GDC","4"
"English","1"
"Tandy","1"
"Call","1"
"Fraud Complaint Center","1"
"Britons","1"
"Blinx","3"
"Chaplin Collection","1"
"Scott Richter","1"
"month-old Committee","1"
"Great","1"
"GPS","1"
"IDN","2"
"Ansheng Liu","1"
"BBC Persian Service","1"
"National Theatre","1"
"Alberta","1"
"Andrew Thompson","1"
"Exhibition","1"
"International Bloggers","1"
"Cannes","1"
"Trauma","1"
"Media Player","1"
"Hitachi","7"
"Fiona Deans","1"
"Nigerian","1"
"Court","1"
"Tara","2"
"PVR","3"
"Real","1"
"Halo","10"
"Oasis","1"
"Linux","3"
"ESPN","12"
"Siemens","5"
"Century","1"
"Christian Harris","1"
"Soros Foundation","1"
"Vulcan Inc","1"
"Rules","1"
"Satellite","1"
"Stanford University","1"
"Telewest Broadband","1"
"Agricultural Information Project","1"
"Creative","1"
"P2P","16"
"RPG","1"
"Zed","1"
"Bulgaria","1"
"Lightpointe","1"
"UK Patent","2"
"PlayStation","2"
"Commodore","9"
"Tim Danton","2"
"Romanian","2"
"National","1"
"Ask Jeeves","1"
"Nasa","1"
"Mac","2"
"Windows Messenger","1"
"Huaral Valley","1"
"Hitchhiker","1"
"BSkyB","1"
"Broadreach Networks","1"
"Sky","5"
"Reporters Without Borders","1"
"Top Ten Essentials","1"
"Spain","1"
"Zafi","1"
"Lifestyle","1"
"Motorola","1"
"Broadband","3"
"Bad","1"
"Committee","1"
"Freeze","1"
"Robbie Bach","1"
"PDA","1"
"Romania","2"
"Entertainment Technologies Group","1"
"Spooks Interactive","1"
"Development","1"
"Georgeta Minciu","1"
"WMDs","1"
"Mobile Entertainment Forum","1"
"Islamic Republic","1"
"Joke","1"
"Consumer","1"
"Digital Screen Network","1"
"California","4"
"Peruvian Centre","1"
"TVs","1"
"Tamagotchi","1"
"Westminster","1"
"Walkman","1"
"Josep Borrell","1"
"Cyrillic","1"
"Dozens","1"
"ITV","1"
"European","3"
"Search","2"
"Sony Computer Entertainment America","1"
"Mike McGuire","1"
"Essentials","1"
"Electronic Frontier Foundation","1"
"Farmers","1"
"Roger Cumming","1"
"Interactive Bafta","1"
"Coudenberg Palace","1"
"Cell","15"
"Technology","1"
"Cepes","4"
"Perry","1"
"Council","1"
"Internationalised Domain Names","1"
"New York State","1"
"Jerry","1"
"Cheaper","1"
"Barry Beal","1"
"Patricia Sanders","1"
"Hogan","1"
"Peru","4"
"Telenor","1"
"British","1"
"Preventon","2"
"Forum","1"
"Rene Obermann","1"
"EC","2"
"Carly Fiorina","1"
"Sun Grid","2"
"Desperate Housewives","1"
"Film","1"
"Norwegian","1"
"Legal Affairs Committee","1"
"Pearson","1"
"Microsoft Outlook","1"
"VCR","1"
"Eighty","1"
"iTunes","1"
"Texan Michael Chicoine","1"
"OFT","1"
"Jos","1"
"London Institute","1"
"Macrovision","6"
"Windows PCs","1"
"Free Mojtaba","1"
"South Korea","1"
"Sky Plus Cable","1"
"West Edmonton","1"
"Tiscali","1"
"Spanish","8"
"Intervoice","3"
"Baftas","1"
"American","1"
"Careless","1"
"GameBoy","2"
"Samsung","1"
"Tata","5"
"Jef Raskin","1"
"Japan","2"
"Reboot","1"
"Broadreach","2"
"DVD","7"
"Dyer","1"
"NTT","1"
"Telecom","1"
"Dallas","1"
"Market","1"
"Ban","1"
"MIT","1"
"Argonaut","6"
"Merry Christmas","1"
"Mobiles","1"
"German","1"
"Travelodge","1"
"Curt Hopkins","1"
"Fair Trading","1"
"Islamic","1"
"Kaz Hirai","1"
"UK","1"
"Mario Paniccia","1"
"FBI","2"
"Screensaver","1"
"UN","2"
"Norway","5"
"Gilan","1"
"Mbps","1"
"LokiTorrent","3"
"PVRs","4"
"Six Feet","1"
"Dan Gillmor","1"
"iPod Photo","1"
"Fred Hasson","1"
"Gartner","2"
"Sega","1"
"Southern","1"
"Palm Pilot","1"
"Opera","6"
"IBM","7"
"Really Bend","1"
"Amazon","1"
"New Year","1"
"VHS","1"
"Capgemini","1"
"American Life Project","1"
"Blackberry","1"
"Investigation","1"
"Linus Torvalds","1"
"Texas","4"
"Blinkx","1"
"Bill Gates","1"
"China","14"
"Wireless","1"
"Tata Teleservices","1"
"Ayatollah Ruhollah Khomenei","1"
"Los Angeles","1"
"Steve Ash","1"
"Underground Network","1"
"HD","9"
"PS3","1"
"Long","1"
"Cyberspace","1"
"Steve Linford","1"
"Shauna Perry","1"
"Brussels","2"
"Sun Microsystems","1"
"Creative Zen Micro Photo","1"
"IFES","1"
"Jerry Yang","2"
"BBC Broadcast","3"
"David Stanley","1"
"PlayStation Portable","1"
"NetMD","1"
"International Solid","1"
"Windows ATMs Cash","1"
"Bond","5"
"Sabotage","1"
"UK Online","1"
"RSA","4"
"ASCII","1"
"Loyalty","1"
"Londoners","2"
"iPod","3"
"Poland","1"
"MPAA","6"
"Firefox","10"
"Madrid","1"
"PC","1"
"Graham Cluley","1"
"Hollywood","1"
"Army Knife","3"
"IETF","5"
"Activcard","3"
"Computer","1"
"Slimmer","1"
"Social Studies","1"
"SSEYO","1"
"Progress","1"
